name,Property," ",Related Glosarium,english
Subvención,10,10,,
Combinacion,11,11,,
Ostracismo,10,10,,
Metrópoli,9,9,,
Coherente,9,9,Rigor (Glosarium/Rigor%2017e598edb790801691a3e2ada7222880.csv),
Abstración,10,10,,
Civilization,12,12,,
Ignominia,9,9,,
Alarife,7,7,,
Juez,4,4,,
Structure,9,9,,
Plan,4,4,,
Metonimia,9,9,,
Rent Seeking (Rentismo) (Rentier),33,33,,
Violencia,9,9,,
Simplicity,10,10,,
Merced,6,6,,
Póliza,6,6,,
Log,3,3,,
Vademécum,9,9,,
Subasta,7,7,,
Agents,6,6,,
Máxima,6,6,,
Iteration,9,9,,
Validation,10,10,,
Catarsis,8,8,,
Simplicity,10,10,,
Phenomenology,13,13,,
Vehiculo,8,8,,
Validity,8,8,,
Nacion,6,6,,
Hierarchy,9,9,,
Ecúmene,7,7,,
Maraña,6,6,,
Ocultismo,9,9,,
Describir,9,9,,Descriptive
Coyuntura,9,9,,
Academia,8,8,,
Antifragile,11,11,,
Ontogenesis,11,11,,
Contrato,8,8,,
Ajustar,7,7,,
Intelligibility,15,15,,
Tiempo,6,6,,
Morphogenesis,13,13,,Morphogenesis
Arúspice,8,8,,
Predictive Power,16,16,,
Developmental State,19,19,,
Locución,8,8,,
Bosquejar,9,9,,
Flexibility,11,11,,
Cartilla,8,8,,
Connotación,11,11,Normal (Glosarium/Normal%201da598edb790802cb5a8fe5c41c5b501.csv),Connotation
Precision,9,9,Rigor (Glosarium/Rigor%2017e598edb790801691a3e2ada7222880.csv),
Transparency,12,12,,
Leverage,8,8,,
Virtud,6,6,,
Zeitgeist,9,9,,
Accuracy,8,8,,
Feria,5,5,,
Fuerte,6,6,,
Gobierno,8,8,,
Technoscience,13,13,,
Apophenia,9,9,,
Gringo,6,6,,
Seminario,9,9,,
Critique Model,14,14,,
Taxonomia,9,9,,
Palacio,7,7,,
Patrician,9,9,,
Ceteris Paribus,15,15,,
Medida,6,6,,
Simplicity,10,10,,
Consistencia,12,12,Rigor (Glosarium/Rigor%2017e598edb790801691a3e2ada7222880.csv),Consistency
Teleology,9,9,,
Formalism,9,9,,
Tertulia,8,8,,
Comisión,8,8,,
Herramienta,11,11,,
Crítica,7,7,,
Optimismo,9,9,,
Clarity,7,7,,
Pentagrama,10,10,,
Cátedra,7,7,,
Economic Rent,13,13,,
Oprobio,7,7,,
Technique,9,9,,
Ad hoc,6,6,,
Service,7,7,,
Mecanismo,9,9,,
Agorador,8,8,,
Maniqueísmo,11,11,,
Gregario,8,8,,
Liceo,5,5,,
Patronato,9,9,,
Proceso,7,7,,
Definir,7,7,,
Generality,10,10,,
Atavismo,8,8,,
Generación,10,10,,
Estructura,10,10,,
Technology,10,10,,
Escolio,7,7,,
Relevance,9,9,,
Prerrogativa,12,12,,
Society,7,7,,
Expressivity,12,12,,
Interoperability,16,16,,
Carenar,7,7,,
Histrión,8,8,,
Coordenada,10,10,,
Apócrifo,8,8,,
Prescriptive,12,12,,
Fenomeno,8,8,,
Emporio,7,7,,
Notario,7,7,,
Elaborar,8,8,,
Epiphenomenon,13,13,,
Vocabulario,11,11,,
Nigromancia,11,11,,
Conversación,12,12,,
Leverage,8,8,,
Espectro,8,8,,
Dinero,6,6,,
Eisegesis,9,9,,
Oximoron,8,8,,
Diseño,6,6,,
Adjetivo,8,8,,
Tesela,6,6,,
Endofobia,9,9,,
Noticia,7,7,,
Problema,8,8,,
Hermeneutics,12,12,,
Configuracion,13,13,,
Crisis,6,6,,
Reforma,7,7,,
Robustness,10,10,,
Pancomputationalism,19,19,,
Privado,7,7,,
Entender,8,8,Comprender (Glosarium/Comprender%2015f598edb7908085802ff7b7343f368b.csv),
Diagnóstico,11,11,,
Cortes,6,6,,
Policy,6,6,,
Catequesis,10,10,,
Etimología,10,10,,
Formular,8,8,,
Exegesis,8,8,,
Institution,11,11,,
Denotación,10,10,Normal (Glosarium/Normal%201da598edb790802cb5a8fe5c41c5b501.csv),Denotation
Esperanza,9,9,,
Moral,5,5,,
Idea,4,4,,
Diffusion,9,9,,
Tradición,9,9,,
Token,5,5,,
Reciprocity,11,11,,
Evangelista,11,11,,
Holismo,7,7,,
Document,8,8,,
Laboratorio,11,11,,
Soberania,9,9,,
Pronóstico,10,10,,
Enajenar,8,8,,
Tolerancia,10,10,,
Method,6,6,,
Aséptico,8,8,,
Maestre,7,7,,
Brevario,8,8,,
Dotación Financiera,19,19,,
Norma,5,5,"Normal (Glosarium/Normal%201da598edb790802cb5a8fe5c41c5b501.csv), Patrón (Glosarium/Patr%C3%B3n%20221598edb79080959e62d822bda3ad8d.csv)",
Tótem,5,5,,
Absorption,10,10,,
Galimatia,9,9,,"Mumbo Jumbo; Gibberish; "
Reification,11,11,,
Inferencia,10,10,,
Modelo,6,6,,
Telos,5,5,,
Fundamento,10,10,,Grounding
Characterization,16,16,,
Mediocre,8,8,,
Poder,5,5,,
Praxis,6,6,,
Simbolo,7,7,,
Foro,4,4,,
Model,5,5,,
Reality,7,7,,
Liturgia,8,8,,
Negocio,7,7,,
Adaptation,10,10,,
Dialogo,7,7,,
Asignar,7,7,,Map
Pensamiento,11,11,,
Technicity,10,10,,
Moderno,7,7,,
Ciencia,7,7,Verdad (Glosarium/Verdad%20201598edb79080cd872ff32f605758c0.csv),Science
Cainismo,8,8,,
Esencialismo,12,12,,
Horcas Caudinas,15,15,,
Proposicion,11,11,Predicado (Glosarium/Predicado%2024f598edb7908095a32aff2cd2af06fd.csv),
Logos,5,5,,
Tecnica,7,7,,
Sofista,7,7,,
Aristocrata,11,11,,
Data,4,4,,
Conocimiento,12,12,,
Upgrading,9,9,,
Tribunal,8,8,,
R&D,3,3,,
Doctrina,8,8,,
Coto,4,4,,
Arbitrage,9,9,,
Proiectarium,12,12,,
Policy Institute,16,16,,
Laboratory,10,10,,
Enterprise,10,10,,
Incubadora,10,10,,
Pioneer Bank,12,12,,
Central Bank,12,12,,
Industrial Park,15,15,,
Cámara de Comptos,17,17,,
Consejo de Estado,17,17,,
Development Banks,17,17,,
Research University,19,19,,
Industry Association,20,20,,
Research Group,14,14,,
Public Research Institutes (PRI),32,32,,
Private Research Lab,20,20,,
Political Organization,22,22,,
Comprender,10,10,Entender (Glosarium/Entender%2015f598edb79081eaa384c3b319cb1617.csv),
Aceleradoras Científicas,24,24,,
Synergy,7,7,,
Modularity,10,10,Cohesion (Glosarium/Cohesion%201b9598edb79080769b79eb39f8999aea.csv),
Significado,11,11,Notion (Glosarium/Notion%2028f598edb790807ba8adffcaa012e55d.csv),Meaning
Concepto,8,8,,
Compacto,8,8,,
General,7,7,,
Redundante,10,10,"Perogrullo (Glosarium/Perogrullo%201b9598edb79080b0b315e53a7d96e313.csv), Intricado (Glosarium/Intricado%201ab598edb7908069a40dc5052bdd48b8.csv)",
Conciso,7,7,Intricado (Glosarium/Intricado%201ab598edb7908069a40dc5052bdd48b8.csv),
Pensar,6,6,,
Razonar,7,7,,
Rigor,5,5,"Consistencia (Glosarium/Consistencia%2015f598edb79081ad943ed5a33b6ad28e.csv), Coherente (Glosarium/Coherente%2015f598edb79081fb9353c5371b6e098d.csv), Precision (Glosarium/Precision%2015f598edb79081858a94fdabe3f17854.csv)",
Análisis,8,8,,
Probabilidad,12,12,,
Kernel,6,6,,
Sinopsis,8,8,,
Network Interface,17,17,,
Intricado,9,9,"Conciso (Glosarium/Conciso%2016e598edb7908085bcabd47ddc2b445d.csv), Redundante (Glosarium/Redundante%2016d598edb790804dbaf2e6b1e1cc6055.csv)",
Rechazar,8,8,,
Matizar,7,7,,
Perogrullo,10,10,Redundante (Glosarium/Redundante%2016d598edb790804dbaf2e6b1e1cc6055.csv),
Cohesion,8,8,"Modularity (Glosarium/Modularity%2016b598edb79080c1886bd96f06037f6e.csv), Acoplamiento (Glosarium/Acoplamiento%201b9598edb790807e9936d3a973d061f5.csv), Disperso (Glosarium/Disperso%201b9598edb79080dbb145eacfec06aa6f.csv)",
Acoplamiento,12,12,Cohesion (Glosarium/Cohesion%201b9598edb79080769b79eb39f8999aea.csv),
Disperso,8,8,Cohesion (Glosarium/Cohesion%201b9598edb79080769b79eb39f8999aea.csv),
