Name,Property
"“If names be not correct, language is not in accordance with the truth of things. If language be not in accordance with the truth of things, affairs cannot be carried on to success.”",182
"""La historia es émula del tiempo, depósito de las acciones, testigo de lo pasado, ejemplo y aviso de lo presente, advertencia de lo porvenir"".",142
"""Patriots always talk of dying for their country and never of killing for their country."" — Bertrand Russell",108
"En el cruce entre historia y memoria, navegamos el dilema de preservar la verdad y tejer la identidad.",102
"""Cum ventum ad verum est, sensus moresque repugnant atque ipsa utilitas, justi prope mater et aequi.”",101
"""The best theory is inspired by practice. The best practice is inspired by theory."" - Donald Knuth",98
Una buena historiografia no busca legitimar el precente - busca comprender el pansado.,86
“Siempre lo hemos hecho asi. Hemos perdido el contexto / No lo sabemos hacer mejor”.,84
"Guarda pan para mayo y leña para abril, que no sabes el tiempo que va a venir.",78
Re-intretar parcial el ayer a la luz del presente para engrandecer el ahora.,76
No tengo armas para convatir el pensamiento mágico.,51
La herramienta no trasciende la mano que la guía.,49
"In vino veritas - ""En el vino está la verdad""",45
“Dime con quién andas y te diré quién eres.”,44
Alea iacta est - La suerte está echada;,39
"Veni, vidi, vici - ""Vine, vi, vencí"". ",38
«Al bien hacer jamás le falta premio.»,38
Et cetera (etc.)  “Y las otras cosas”,37
"(CHRESTOS) ""Bueno, Digno, Virtuoso”",35
"Ipso facto - ""Por el hecho mismo"". ",35
"Ex post facto - ""Después del hecho""",35
"Carpe diem - ""Aprovecha el día"". ",33
"“A quien madruga, Dios le ayuda.”",33
“Más vale prevenir que lamentar.”,33
"Quid pro quo - ""Algo por algo"".",31
"“El que no arriesga, no gana.”",30
"Tabula rasa - ""Tabla rasa"". ",28
"Cum laude - ""Con alabanza"".",27
“Más vale tarde que nunca.”,27
"«De tal palo, tal astilla»",26
Roma locuta causa finita.,25
"Per se - ""Por sí mismo"". ",25
"«A lo hecho, pecho»",19
Wronger than wrong,18
“Not even wrong”,16
