Name,Property
“Más vale prevenir que lamentar.”,33
"Veni, vidi, vici - ""Vine, vi, vencí"". ",38
Re-intretar parcial el ayer a la luz del presente para engrandecer el ahora.,76
No tengo armas para convatir el pensamiento mágico.,51
«Al bien hacer jamás le falta premio.»,38
“Más vale tarde que nunca.”,27
"«De tal palo, tal astilla»",26
"En el cruce entre historia y memoria, navegamos el dilema de preservar la verdad y tejer la identidad.",102
"Per se - ""Por sí mismo"". ",25
“Dime con quién andas y te diré quién eres.”,44
"Quid pro quo - ""Algo por algo"".",31
"Ex post facto - ""Después del hecho""",35
"Guarda pan para mayo y leña para abril, que no sabes el tiempo que va a venir.",78
Una buena historiografia no busca legitimar el precente - busca comprender el pansado.,86
“Siempre lo hemos hecho asi. Hemos perdido el contexto / No lo sabemos hacer mejor”.,84
"Cum laude - ""Con alabanza"".",27
"In vino veritas - ""En el vino está la verdad""",45
"“El que no arriesga, no gana.”",30
"Carpe diem - ""Aprovecha el día"". ",33
Alea iacta est - La suerte está echada;,39
"“A quien madruga, Dios le ayuda.”",33
"«A lo hecho, pecho»",19
Roma locuta causa finita.,25
Et cetera (etc.)  “Y las otras cosas”,37
"""La historia es émula del tiempo, depósito de las acciones, testigo de lo pasado, ejemplo y aviso de lo presente, advertencia de lo porvenir"".",142
Wronger than wrong,18
"Tabula rasa - ""Tabla rasa"". ",28
“Not even wrong”,16
"Ipso facto - ""Por el hecho mismo"". ",35
La herramienta no trasciende la mano que la guía.,49
"(CHRESTOS) ""Bueno, Digno, Virtuoso”",35
"""Cum ventum ad verum est, sensus moresque repugnant atque ipsa utilitas, justi prope mater et aequi.”",101
"“If names be not correct, language is not in accordance with the truth of things. If language be not in accordance with the truth of things, affairs cannot be carried on to success.”",182
"""The best theory is inspired by practice. The best practice is inspired by theory."" - Donald Knuth",98
"""Patriots always talk of dying for their country and never of killing for their country."" — Bertrand Russell",108
